specialty,hcpcs_desc,total_services,avg_medicare_payment,unique_providers
Hematology-Oncology,"New patient office or other outpatient visit, 60-74 minutes",81404.0,164.162683738352,1937
Physical Therapist in Private Practice,"Re-evaluation for physical therapy, typically 20 minutes",168246.0,55.10572697560691,3201
Internal Medicine,Test to determine lung volumes using gas dilution or washout,14356.0,29.849773732305987,157
Diagnostic Radiology,Ct scan of soft tissue of neck without contrast,6403.0,66.28958933148459,344
Medical Oncology,"Administration of chemotherapy into vein, 1 hour or less",105149.0,111.1363831663325,385
Family Practice,"X-ray of hip, 2-3 views",5470.0,30.219384075255977,207
Hematology-Oncology,Oncology care model (ocm) monthly enhanced oncology services (meos) payment for ocm enhanced services. g9678 payments may only be made to ocm practitioners for ocm beneficiaries for the furnishment of enhanced services as defined in the ocm participation a,70065.0,159.62305185552,372
Internal Medicine,"Colorectal cancer screening; fecal occult blood test, immunoassay, 1-3 simultaneous",17019.0,17.745672634387294,307
Medical Oncology,Insertion of needle into vein for collection of blood sample,313971.0,2.954937489995946,370
Physical Therapist in Private Practice,"Application of electrical stimulation with therapist present, each 15 minutes",125729.0,9.499354991454236,295
Family Practice,Detection test by nucleic acid for multiple types influenza virus,4951.0,93.49382115041959,143
Family Practice,Insertion of needle into vein for collection of blood sample,1354889.0,2.9537500034299193,6341
Family Practice,"Detection test by immunoassay with direct visual observation for streptococcus, group a (strep)",27744.0,16.19536830241911,963
Diagnostic Radiology,"X-ray of lower and sacral spine, 2-3 views",246375.0,13.391307722154597,4507
Family Practice,"Follow-up hospital inpatient care per day, typically 15 minutes",37767.0,30.71472883060731,438
Clinical Laboratory,Creatinine level to test for kidney function or muscle injury,1382491.0,5.100058892018325,191
Internal Medicine,Exercise or drug-induced heart stress test with electrocardiogram (ecg) with supervision and review by physician,12917.0,53.94111326511795,195
Family Practice,"Follow-up nursing facility visit per day, typically 10 minutes",108759.0,33.48030484820114,475
Hematology-Oncology,Immunologic analysis technique on serum (immunofixation),26194.0,21.95084047503018,232
Diagnostic Radiology,"X-ray of forearm, 2 views",26219.0,6.6834330455907995,1310
Hematology-Oncology,"Infusion into a vein for therapy, prevention, or diagnosis, each additional hour",68598.0,17.118946468651117,579
Clinical Laboratory,Vitamin d-3 level,1974484.0,29.100801098060085,233
Diagnostic Radiology,"X-ray of abdomen, 2 views",37799.0,10.6413939842604,1489
Internal Medicine,Blood glucose (sugar) test performed by hand-held instrument,69569.0,3.2298489771355086,521
Family Practice,"Established patient custodial care facility, group care, or assisted living visit, typically 1 hour",24415.0,142.10952775579258,134
Medical Oncology,"Injection, pembrolizumab, 1 mg",2281202.0,42.008611460969135,162
Internal Medicine,Measurement c-reactive protein for detection of infection or inflammation,24527.0,5.112419234977866,253
Internal Medicine,"Influenza vaccine, quadrivalent inactivated, 0.5 ml dosage",123363.0,69.41976394921481,2238
Internal Medicine,"Established patient office or other outpatient visit, 10-19 minutes",260259.0,41.147666438672765,3371
Family Practice,"Ultrasound of heart with color-depicted blood flow, rate, direction and valve function",14975.0,136.00033106755845,265
Diagnostic Radiology,Ct scan of head or brain before and after contrast,5706.0,75.50638995371999,289
Internal Medicine,Adm sarscov2 50mcg/0.25mlbst,38317.0,41.27703860794119,578
Internal Medicine,"Management using the results of remote vital sign monitoring per calendar month, first 20 minutes",221388.0,40.98477306976983,637
Diagnostic Radiology,Single contrast x-ray of esophagus,20524.0,31.33997512825898,829
Diagnostic Radiology,Mri scan of lower spinal canal before and after contrast,45351.0,135.31602841927386,1525
Clinical Laboratory,"Thyroid hormone, t3 measurement, free",524809.0,16.60990841165926,189
Family Practice,"Removal of skin and tissue, each additional 20.0 sq cm or less",24799.0,26.296485928821255,144
Family Practice,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",22431.0,4.685223083256983,179
Rheumatology,"Measurement of complement (immune system proteins), antigen,",20999.0,11.707390292701923,104
Diagnostic Radiology,Complete ultrasound scan of pelvis,64205.0,49.92855118498773,1882
Internal Medicine,"Follow-up nursing facility visit per day, typically 35 minutes",146845.0,106.32056809593637,760
Hematology-Oncology,Automated urinalysis test,8348.0,2.2053495342567166,134
Rheumatology,Aspiration and/or injection of fluid from medium joint,3197.0,41.57398187408108,111
Family Practice,"Red blood cell sedimentation rate, to detect inflammation, automated",4096.0,2.6636049511040274,149
Internal Medicine,"Extended patient service without direct patient contact, first hour",26133.0,89.39008442989176,221
Internal Medicine,"Use of a drug to induce depression of consciousness by physician performing a procedure (5 years or older), initial 15 minutes",8489.0,12.981873451805756,133
Internal Medicine,"Uric acid level, blood",85101.0,4.458817774552877,643
Clinical Laboratory,"Infectious agent detection by nucleic acid (dna or rna); severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (coronavirus disease [covid-19]), amplified probe technique, making use of high throughput technologies as described by cms-2020-01-r",2845235.0,74.12321777873295,347
Family Practice,"Blood test, basic group of blood chemicals (calcium, total)",59857.0,8.325300226381689,710
Pharmacy,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",10101765.0,11.617439069297712,350
Internal Medicine,"Extended inpatient or observation hospital service, first hour",21239.0,74.43025660619837,245
Hematology-Oncology,Unclassified drugs,43086.0,17.9263307681054,296
Clinical Laboratory,Homocysteine (amino acid) level,93820.0,17.691423378362742,102
Internal Medicine,"Telephone medical discussion with physician, 11-20 minutes",196441.0,61.27086876152126,2586
Internal Medicine,"Influenza vaccine, quadrivalent derived from cell cultures",33174.0,29.574416838026572,640
Internal Medicine,"Hospital discharge day management, 30 minutes or less",238745.0,58.490541298426066,4531
Family Practice,"Colorectal cancer screening; fecal occult blood test, immunoassay, 1-3 simultaneous",14482.0,17.764899691145764,295
Family Practice,"Initial nursing facility visit per day, typically 25 minutes",20114.0,70.14287734460062,207
Diagnostic Radiology,Ultrasound study of arm or leg veins with compression and maneuvers,236151.0,46.92934141205277,4528
Internal Medicine,Phosphate level,37501.0,4.6904406403759795,204
Internal Medicine,Assessment of emotional or behavioral problems,43597.0,3.617407662549184,429
Clinical Laboratory,"Complete blood cell count (red cells, white blood cell, platelets), automated test",831790.0,6.381658448115384,169
Diagnostic Radiology,Ct scan head or brain without contrast,1585969.0,38.106830643274414,6257
Rheumatology,Injection of additional new drug or substance into vein,28607.0,13.000836998397,200
Hematology-Oncology,"Complete blood cell count (red cells, white blood cell, platelets), automated test and automated differential white blood cell count",1207492.0,7.6422334791604,1053
Internal Medicine,Coronavirus vaccine 14,6933.0,0.010000000000000005,172
Clinical Laboratory,"Detection test for candida species (yeast), amplified probe technique",625364.0,34.26584162620001,150
Family Practice,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",24047.0,9.466637878478432,101
Diagnostic Radiology,"X-ray of ankle, 2 views",10669.0,8.727424888239511,380
Hematology-Oncology,"Telephone medical discussion with physician, 5-10 minutes",5913.0,35.2788277005,140
Internal Medicine,Electrocardiogram (ecg) 2-day continuous with review by health care professional,4789.0,13.724437468480911,103
Diagnostic Radiology,Mri scan of blood vessels of head without contrast,51580.0,76.06699621740087,1500
Clinical Laboratory,Measurement of total estradiol (hormone),139468.0,27.369144181702517,119
Diagnostic Radiology,Ultrasonic guidance for needle placement,19337.0,27.607884818419233,739
